COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
JKH,N,0.0,JKH,2025-02-07,22.8,22.2,22.8,22.8,536,8151403.0,184818314.6
JKH,N,0.0,JKH,2025-02-10,22.9,22.4,22.5,22.5,423,2266035.0,51153159.5
JKH,N,0.0,JKH,2025-02-11,22.6,22.3,22.4,22.4,490,3014623.0,67553194.5
JKH,N,0.0,JKH,2025-02-13,22.6,22.2,22.5,22.5,681,9688736.0,217262425.7
JKH,N,0.0,JKH,2025-02-14,23.0,22.4,22.9,22.9,513,6576175.0,150017122.0
JKH,N,0.0,JKH,2025-02-17,22.9,22.6,22.8,22.8,491,4342462.0,98739287.6
JKH,N,0.0,JKH,2025-02-18,22.8,22.2,22.3,22.3,947,11188830.0,250090657.3
JKH,N,0.0,JKH,2025-02-19,22.4,22.1,22.2,22.2,562,7130460.0,157916564.0
JKH,N,0.0,JKH,2025-02-20,22.4,22.1,22.2,22.2,511,29383126.0,653045810.6
JKH,N,0.0,JKH,2025-02-21,22.4,,22.4,22.2,284,8460923.0,188114900.2
JKH,N,0.0,JKH,2025-02-24,22.4,22.2,22.2,22.2,363,4348410.0,96937460.1
JKH,N,0.0,JKH,2025-02-25,22.3,21.9,21.9,21.9,617,7418677.0,162634036.8
JKH,N,0.0,JKH,2025-02-27,22.0,21.1,21.4,21.4,970,5243635.0,113527949.5
JKH,N,0.0,JKH,2025-02-28,21.8,21.2,21.3,21.3,633,3520788.0,75601344.8
JKH,N,0.0,JKH,2025-03-03,21.6,21.0,21.1,21.1,574,3411584.0,72053593.4
JKH,N,0.0,JKH,2025-03-04,21.2,20.9,20.9,20.9,598,7707791.0,161936527.4
JKH,N,0.0,JKH,2025-03-05,21.1,20.9,20.9,20.9,590,11689213.0,244704453.4
JKH,N,0.0,JKH,2025-03-06,21.1,20.9,21.0,21.0,465,35207535.0,739354840.5
JKH,N,0.0,JKH,2025-03-07,21.1,20.9,21.0,21.0,367,20609136.0,432683072.0
JKH,N,0.0,JKH,2025-03-10,21.0,20.8,20.9,20.9,284,900211.0,18845046.2
JKH,N,0.0,JKH,2025-03-11,20.9,20.5,20.5,20.5,619,2375440.0,49116961.0
